bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
747,13950,-27926,13950,-27926,41876,41876,0,0
748,14376,-27710,14376,-27710,42086,42086,0,0
749,14800,-27486,14800,-27486,42286,42286,0,0
750,15220,-27256,15220,-27256,42476,42476,0,0
751,15636,-27018,15636,-27018,42654,42654,0,0
752,16048,-26776,16048,-26776,42824,42824,0,0
753,16456,-26526,16456,-26526,42982,42982,0,0
754,16863,-26271,16863,-26271,43134,43134,0,0
755,17263,-26009,17263,-26009,43272,43272,0,0
756,17660,-25741,17660,-25741,43401,43401,0,0
757,18053,-25468,18053,-25468,43521,43521,0,0
758,18442,-25188,18442,-25188,43630,43630,0,0
759,18825,-24902,18825,-24902,43727,43727,0,0
760,19205,-24610,19205,-24610,43815,43815,0,0
761,19581,-24312,19581,-24312,43893,43893,0,0
762,19951,-24008,19951,-24008,43959,43959,0,0
763,20318,-23700,20318,-23700,44018,44018,0,0
764,20679,-23386,20679,-23386,44065,44065,0,0
765,21036,-23066,21036,-23066,44102,44102,0,0
766,21386,-22740,21386,-22740,44126,44126,0,0
767,21733,-22410,21733,-22410,44143,44143,0,0
768,22074,-22074,22074,-22074,44148,44148,0,0
769,22410,-21734,22410,-21734,44144,44144,0,0
770,22740,-21386,22740,-21386,44126,44126,0,0
771,23066,-21036,23066,-21036,44102,44102,0,0
772,23386,-20679,23386,-20679,44065,44065,0,0
773,23699,-20318,23699,-20318,44017,44017,0,0
774,24008,-19952,24008,-19952,43960,43960,0,0
775,24312,-19582,24312,-19582,43894,43894,0,0
776,24609,-19206,24609,-19206,43815,43815,0,0
777,24901,-18826,24901,-18826,43727,43727,0,0
778,25188,-18442,25188,-18442,43630,43630,0,0
779,25467,-18054,25467,-18054,43521,43521,0,0
780,25740,-17660,25740,-17660,43400,43400,0,0
781,26008,-17264,26008,-17264,43272,43272,0,0
782,26270,-16864,26270,-16864,43134,43134,0,0
783,26526,-16457,26526,-16457,42983,42983,0,0
784,26776,-16048,26776,-16048,42824,42824,0,0
785,27018,-15636,27018,-15636,42654,42654,0,0
786,27255,-15221,27255,-15221,42476,42476,0,0
787,27484,-14800,27484,-14800,42284,42284,0,0
788,27709,-14376,27709,-14376,42085,42085,0,0
789,27926,-13950,27926,-13950,41876,41876,0,0
790,28137,-13520,28137,-13520,41657,41657,0,0
791,28341,-13087,28341,-13087,41428,41428,0,0
792,28538,-12651,28538,-12651,41189,41189,0,0
793,28729,-12211,28729,-12211,40940,40940,0,0
794,28912,-11770,28912,-11770,40682,40682,0,0
795,29090,-11324,29090,-11324,40414,40414,0,0
796,29260,-10876,29260,-10876,40136,40136,0,0
797,29424,-10426,29424,-10426,39850,39850,0,0
798,29580,-9974,29580,-9974,39554,39554,0,0
799,29730,-9519,29730,-9519,39249,39249,0,0
800,29872,-9062,29872,-9062,38934,38934,0,0
801,30008,-8602,30008,-8602,38610,38610,0,0
802,30136,-8141,30136,-8141,38277,38277,0,0
803,30258,-7678,30258,-7678,37936,37936,0,0
804,30372,-7214,30372,-7214,37586,37586,0,0
805,30479,-6746,30479,-6746,37225,37225,0,0
806,30578,-6278,30578,-6278,36856,36856,0,0
807,30671,-5808,30671,-5808,36479,36479,0,0
808,30756,-5337,30756,-5337,36093,36093,0,0
809,30835,-4865,30835,-4865,35700,35700,0,0
810,30906,-4390,30906,-4390,35296,35296,0,0
811,30970,-3918,30970,-3918,34888,34888,0,0
812,31026,-3441,31026,-3441,34467,34467,0,0
813,31075,-2965,31075,-2965,34040,34040,0,0
814,31116,-2488,31116,-2488,33604,33604,0,0
815,31152,-2010,31152,-2010,33162,33162,0,0
816,31179,-1532,31179,-1532,32711,32711,0,0
817,31198,-1054,31198,-1054,32252,32252,0,0
818,31212,-574,31212,-574,31786,31786,0,0
819,31216,-96,31216,-96,31312,31312,0,0
820,31214,382,31214,382,31596,31596,0,0
821,31204,862,31204,862,32066,32066,0,0
822,31188,1340,31188,1340,32528,32528,0,0
823,31164,1818,31164,1818,32982,32982,0,0
824,31132,2296,31132,2296,33428,33428,0,0
825,31092,2774,31092,2774,33866,33866,0,0
826,31047,3250,31047,3250,34297,34297,0,0
827,30993,3726,30993,3726,34719,34719,0,0
828,30932,4201,30932,4201,35133,35133,0,0
829,30864,4674,30864,4674,35538,35538,0,0
830,30789,5148,30789,5148,35937,35937,0,0
831,30706,5620,30706,5620,36326,36326,0,0
832,30617,6090,30617,6090,36707,36707,0,0
833,30520,6558,30520,6558,37078,37078,0,0
834,30416,7026,30416,7026,37442,37442,0,0
835,30304,7492,30304,7492,37796,37796,0,0
836,30186,7956,30186,7956,38142,38142,0,0
837,30060,8418,30060,8418,38478,38478,0,0
838,29928,8877,29928,8877,38805,38805,0,0
839,29787,9336,29787,9336,39123,39123,0,0
840,29640,9792,29640,9792,39432,39432,0,0
841,29487,10245,29487,10245,39732,39732,0,0
842,29326,10696,29326,10696,40022,40022,0,0
843,29159,11144,29159,11144,40303,40303,0,0
844,28984,11592,28984,11592,40576,40576,0,0
845,28804,12034,28804,12034,40838,40838,0,0
846,28616,12474,28616,12474,41090,41090,0,0
847,28420,12912,28420,12912,41332,41332,0,0
848,28220,13347,28220,13347,41567,41567,0,0
849,28012,13778,28012,13778,41790,41790,0,0
850,27796,14206,27796,14206,42002,42002,0,0
851,27574,14630,27574,14630,42204,42204,0,0
852,27348,15052,27348,15052,42400,42400,0,0
853,27114,15470,27114,15470,42584,42584,0,0
854,26874,15884,26874,15884,42758,42758,0,0
855,26626,16294,26626,16294,42920,42920,0,0
856,26373,16700,26373,16700,43073,43073,0,0
857,26114,17104,26114,17104,43218,43218,0,0
