bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
1501,-1,0,-1,0,1,1,0,0
1502,-1,0,-1,0,1,1,0,0
1503,-1,0,-1,0,1,1,0,0
1504,-1,0,-1,0,1,1,0,0
1505,-2,-1,-2,-1,3,3,0,0
1506,-2,-1,-2,-1,3,3,0,0
1507,0,1,0,1,1,1,0,0
1508,-1,-1,-1,-1,2,2,0,0
1509,-1,0,-1,0,1,1,0,0
1510,-1,2,-1,2,3,3,0,0
1511,-1,0,-1,0,1,1,0,0
1512,-1,-1,-1,-1,2,2,0,0
1513,-2,0,-2,0,2,2,0,0
1514,-2,0,-2,0,2,2,0,0
1515,-2,-1,-2,-1,3,3,0,0
1516,-1,0,-1,0,1,1,0,0
1517,-1,-1,-1,-1,2,2,0,0
1518,0,-1,0,-1,1,1,0,0
1519,-2,0,-2,0,2,2,0,0
1520,-1,0,-1,0,1,1,0,0
1521,-1,-1,-1,-1,2,2,0,0
1522,-2,-1,-2,-1,3,3,0,0
1523,0,-1,0,-1,1,1,0,0
1524,-1,-2,-1,-2,3,3,0,0
1525,0,-1,0,-1,1,1,0,0
1526,0,-1,0,-1,1,1,0,0
1527,0,-1,0,-1,1,1,0,0
1528,0,-1,0,-1,1,1,0,0
1529,0,0,0,0,0,0,0,0
1530,-1,0,-1,0,1,1,0,0
1531,-1,-1,-1,-1,2,2,0,0
1532,1,-1,1,-1,2,2,0,0
1533,0,0,0,0,0,0,0,0
1534,0,-1,0,-1,1,1,0,0
1535,0,-1,0,-1,1,1,0,0
1536,0,0,0,0,0,0,0,0
1537,1,-1,1,-1,2,2,0,0
1538,0,1,0,1,1,1,0,0
1539,0,0,0,0,0,0,0,0
1540,0,1,0,1,1,1,0,0
1541,1,2,1,2,3,3,0,0
1542,0,2,0,2,2,2,0,0
1543,-1,2,-1,2,3,3,0,0
1544,-1,1,-1,1,2,2,0,0
1545,-1,1,-1,1,2,2,0,0
1546,-1,1,-1,1,2,2,0,0
1547,-2,0,-2,0,2,2,0,0
1548,-1,0,-1,0,1,1,0,0
1549,-2,1,-2,1,3,3,0,0
1550,-2,1,-2,1,3,3,0,0
1551,-1,1,-1,1,2,2,0,0
1552,-2,0,-2,0,2,2,0,0
1553,-3,1,-3,1,4,4,0,0
1554,-2,0,-2,0,2,2,0,0
1555,-3,0,-3,0,3,3,0,0
1556,-2,0,-2,0,2,2,0,0
1557,-3,-2,-3,-2,5,5,0,0
1558,-3,-1,-3,-1,4,4,0,0
1559,-2,-1,-2,-1,3,3,0,0
1560,-1,-1,-1,-1,2,2,0,0
1561,-2,-1,-2,-1,3,3,0,0
1562,-2,-1,-2,-1,3,3,0,0
1563,-2,-2,-2,-2,4,4,0,0
1564,-1,-2,-1,-2,3,3,0,0
1565,-1,-1,-1,-1,2,2,0,0
1566,-1,-1,-1,-1,2,2,0,0
1567,-1,-1,-1,-1,2,2,0,0
1568,0,0,0,0,0,0,0,0
1569,0,0,0,0,0,0,0,0
1570,-1,-1,-1,-1,2,2,0,0
1571,0,-1,0,-1,1,1,0,0
1572,0,-1,0,-1,1,1,0,0
1573,1,0,1,0,1,1,0,0
1574,0,0,0,0,0,0,0,0
1575,1,1,1,1,2,2,0,0
1576,0,0,0,0,0,0,0,0
1577,1,0,1,0,1,1,0,0
1578,0,1,0,1,1,1,0,0
1579,-1,1,-1,1,2,2,0,0
1580,-1,1,-1,1,2,2,0,0
1581,0,1,0,1,1,1,0,0
1582,0,2,0,2,2,2,0,0
1583,0,1,0,1,1,1,0,0
