bin,out_i,out_q
1389,-24191,19730
1390,-24491,19356
1391,-24786,18978
1392,-25073,18596
1393,-25355,18210
1394,-25632,17818
1395,-25903,17422
1396,-26166,17023
1397,-26424,16620
1398,-26677,16212
1399,-26922,15802
1400,-27160,15388
1401,-27394,14968
1402,-27620,14546
1403,-27840,14120
1404,-28054,13693
1405,-28260,13260
1406,-28460,12826
1407,-28654,12388
1408,-28841,11946
1409,-29020,11502
1410,-29192,11056
1411,-29360,10607
1412,-29518,10156
1413,-29671,9702
1414,-29816,9246
1415,-29954,8786
1416,-30085,8326
1417,-30209,7864
1418,-30328,7400
1419,-30438,6934
1420,-30540,6466
1421,-30636,5996
1422,-30724,5526
1423,-30805,5053
1424,-30879,4580
1425,-30945,4107
1426,-31005,3632
1427,-31056,3155
1428,-31102,2678
1429,-31138,2202
1430,-31170,1723
1431,-31192,1245
1432,-31207,766
1433,-31216,288
1434,-31216,-192
1435,-31209,-669
1436,-31196,-1148
1437,-31174,-1627
1438,-31145,-2106
1439,-31110,-2583
1440,-31066,-3059
1441,-31016,-3535
1442,-30958,-4012
1443,-30892,-4485
1444,-30820,-4959
1445,-30740,-5430
1446,-30653,-5902
1447,-30559,-6371
1448,-30458,-6840
1449,-30350,-7306
1450,-30234,-7771
1451,-30111,-8233
1452,-29981,-8695
1453,-29844,-9153
1454,-29700,-9610
1455,-29549,-10064
1456,-29392,-10516
1457,-29226,-10966
1458,-29056,-11413
1459,-28877,-11858
1460,-28692,-12298
1461,-28499,-12738
1462,-28300,-13173
1463,-28095,-13606
1464,-27883,-14035
1465,-27664,-14461
1466,-27439,-14884
1467,-27209,-15303
1468,-26970,-15719
1469,-26726,-16130
1470,-26476,-16538
1471,-26218,-16944
1472,-25956,-17342
1473,-25687,-17738
1474,-25411,-18130
1475,-25130,-18519
1476,-24843,-18902
1477,-24550,-19281
1478,-24252,-19655
1479,-23946,-20024
1480,-23638,-20390
1481,-23322,-20750
1482,-23001,-21106
1483,-22675,-21455
1484,-22342,-21802
1485,-22006,-22141
1486,-21664,-22476
1487,-21315,-22805
1488,-20963,-23130
1489,-20606,-23449
1490,-20244,-23762
1491,-19876,-24070
1492,-19506,-24372
1493,-19129,-24668
1494,-18749,-24958
1495,-18364,-25243
1496,-17974,-25523
1497,-17580,-25795
1498,-17182,-26062
1499,-16782,-26322
1500,-16376,-26576
1501,-15966,-26824
1502,-15554,-27066
1503,-15136,-27302
